номер,название,дата_проведения,место_проведения,краткое_описание,формат,количество_участников,количество_спикеров,участие
1,Траектория’25,4 декабря 2025 года,"Санкт-Петербург, Россия","Конференция, посвященная цифровизации бизнеса, автоматизации и искусственному интеллекту.",Офлайн,200-500,10-20,как спикер/слушатель
2,Conversations 2025,5 декабря 2025 года,"Москва, Россия",Главная конференция по генеративному ИИ для бизнеса и разработчиков в России.,Офлайн,500-1000,20-30,как спикер/слушатель
3,GLOBAL TECH FORUM 2026,27 марта 2026 года,"Москва, Россия","Конференция, посвященная цифровой трансформации и автоматизации бизнеса.",Офлайн,1000-2000,30-50,как спикер/слушатель
4,Я.Субботник по Go,1 ноября 2025 года,"Москва, Россия",Митап для разработчиков Go.,Офлайн,50-100,5-10,как спикер/слушатель
5,RoadShow SearchInform 2025: как ИИ меняет информационную безопасность,27 ноября 2025 года,"Москва, Россия","Конференция, посвященная влиянию искусственного интеллекта на информационную безопасность.",Офлайн,100-200,5-10,как спикер/слушатель
6,FRUCT 2025,5-7 ноября 2025 года,"Хельсинки, Финляндия","Конференция IEEE, посвященная мобильным и ubiquitous computing.",Офлайн,100-200,10-20,как спикер/слушатель
7,Киберпризнание. Прием заявок,9-10 ноября 2025 года,Онлайн,Премия в области информационной безопасности.,Онлайн,50-100,5-10,как спикер/слушатель
8,XII Международный Форум «ИТ-Диалог 2025»,5-8 ноября 2025 года,"Санкт-Петербург, Россия","Форум, собирающий ведущих экспертов цифровой индустрии.",Офлайн,500-1000,20-30,как спикер/слушатель
9,Я.Субботник по Go,1 ноября 2025 года,"Москва, Россия",Митап для разработчиков Go.,Офлайн,50-100,5-10,как спикер/слушатель
10,RoadShow SearchInform 2025: как ИИ меняет информационную безопасность,27 ноября 2025 года,"Москва, Россия","Конференция, посвященная влиянию искусственного интеллекта на информационную безопасность.",Офлайн,100-200,5-10,как спикер/слушатель
